Date,Number,Decreased,Same,Increased
2/3/2009,1,1,0,0
3/20/2009,2,1,0,0
4/20/2009,3,1,0,0
5/13/2009,4,1,0,0
6/9/2009,5,1,0,0
7/17/2009,6,1,0,0
8/13/2009,7,0,1,0
9/10/2009,8,0,1,0
10/22/2009,9,0,1,0
11/17/2009,10,0,1,0
12/28/2009,11,0,1,0
1/18/2010,12,0,1,0
2/5/2010,13,0,1,0
3/5/2010,14,0,1,0
4/12/2010,15,0,1,0
5/7/2010,16,0,1,0
6/7/2010,17,0,1,0
7/12/2010,18,0,1,0
8/11/2010,19,0,1,0
9/8/2010,20,0,1,0
10/15/2010,21,0,1,0
11/8/2010,22,0,1,0
12/10/2010,23,0,1,0
1/11/2011,24,0,0,1
2/11/2011,25,0,1,0
3/22/2011,26,0,1,0
5/2/2011,27,0,1,0
5/31/2011,28,0,1,0
6/15/2011,29,0,1,0
8/3/2011,30,0,1,0
8/16/2011,31,0,1,0
9/16/2011,32,1,0,0
10/17/2011,33,1,0,0
11/16/2011,34,0,1,0
12/20/2011,35,0,1,0
1/17/2012,36,1,0,0
2/13/2012,37,0,1,0
3/14/2012,38,0,1,0
4/25/2012,39,0,1,0
5/15/2012,40,0,1,0
6/20/2012,41,0,1,0
7/27/2012,42,0,1,0
8/16/2012,43,0,1,0
9/24/2012,44,0,1,0
11/12/2012,45,0,1,0
11/27/2012,46,0,1,0
12/11/2012,47,0,1,0
1/22/2013,48,0,1,0
2/22/2013,49,0,1,0
3/21/2013,50,0,1,0
4/26/2013,51,0,1,0
5/24/2013,52,0,0,1
6/25/2013,53,0,0,1
7/26/2013,54,0,1,0
8/27/2013,55,0,0,1
9/26/2013,56,0,1,0
10/21/2013,57,0,0,1
11/28/2013,58,0,1,0
12/23/2013,59,0,1,0
1/20/2014,60,0,1,0
3/26/2014,61,0,1,0
4/28/2014,62,0,1,0
4/30/2014,63,0,1,0
6/11/2014,64,0,1,0
6/26/2014,65,0,1,0
7/24/2014,66,0,1,0
8/29/2014,67,0,1,0
9/30/2014,68,0,1,0
10/24/2014,69,0,1,0
12/29/2014,70,0,1,0
1/2/2015,71,0,1,0
1/27/2015,72,1,0,0
2/28/2015,73,0,1,0
3/31/2015,74,0,1,0
4/30/2015,75,0,1,0
5/29/2015,76,0,1,0
6/30/2015,77,0,1,0
7/31/2015,78,0,1,0
8/31/2015,79,0,1,0
9/30/2015,80,0,1,0
10/30/2015,81,0,1,0
11/30/2015,82,0,1,0
