SST (°F)
82
82
82
no data
no data
no data
no data
no data
no data
no data
80
80
80
no data
no data
no data
80
80
80
no data
no data
no data
no data
no data
no data
no data
80
80
87
no data
no data
no data
no data
84
85
no data
84
no data
84
87
86
87
86
86
86
86
86
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
87
87
87
no data
no data
no data
no data
no data
no data
no data
no data
no data
89
no data
85
no data
no data
no data
no data
86
88
no data
no data
no data
no data
81
89
89
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
87


no data
no data
no data
no data
86
no data
no data
no data
no data
no data
no data
no data
no data
no data
86.4
86.5
86.5
no data
86
no data
85
no data
no data
no data
no data
no data
87
91
86
91
91
85
85
no data
88
no data
no data
87
86
86
no data
no data
no data
no data
85
no data
no data
86
86
87.6
87
88
87
87
87
87
87
86
5-10 kts
89
no data
no data
89
89
89
87
88
no data
87
no data
no data
no data
no data
no data
no data
no data
89
86
87
89
86
86
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data

no data
no data
no data
no data
no data
85
no data
no data
no data
no data
no data
no data
86
86
85
84
84
84
84
84
84
86
86

86
no data
no data
85
84

no data
no data
84
no data
no data
no data
no data
84.2
no data
84


84
no data
no data
no data
no data
no data
no data
no data
no data
84
O fav - some colonies showing streaks of light brown (zoox!)

no data
no data
82
O fav - some colonies showing streaks of light brown (zoox!)

no data
no data
no data
no data
no data
no data
no data
no data
no data
82
82
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
84

white plague - Dendro

84
no data
no data
no data
no data
no data
no data
no data
84

no data
no data
no data
no data
no data
no data
no data
no data
no data
no data
77
77
