,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,minutes_t1,goals_t1,assists_t1,clean_sheets_t1,goals_conceded_t1,saves_t1,bonus_per_min_t1,pts_per_min_t1,goals_per_min_t1,assists_per_min_t1,clean_sheets_per_min_t1,goals_conceded_per_min_t1,saves_per_min_t1,own_team_form,home,next_team,next_team_pos_t,fantasy_points_t
0,1,Wojciech,Szczesny,Arsenal,1,Goalkeeper,50,0.0,0.0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,NEW,18,0
1,2,David,Ospina,Arsenal,1,Goalkeeper,47,100.0,100.0,90,1.2,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,NEW,18,0
2,3,Petr,Cech,Arsenal,1,Goalkeeper,60,0.0,0.0,2520,2.8,54.0,9.0,57,270.0,0.0,0.0,1.0,5.0,8.0,0.2,0.0333333333333,0.0,0.0,0.0037037037037,0.0,0.0296296296296,3,True,NEW,18,10
3,4,Laurent,Koscielny,Arsenal,1,Defender,63,0.0,0.0,2035,1.4,65.0,10.0,61,270.0,0.0,0.0,1.0,5.0,0.0,0.240740740741,0.037037037037,0.0,0.0,0.0037037037037,0.0,0.0,3,True,NEW,18,15
4,5,Per,Mertesacker,Arsenal,1,Defender,52,100.0,100.0,1817,0.8,61.0,8.0,53,270.0,0.0,0.0,1.0,5.0,0.0,0.225925925926,0.0296296296296,0.0,0.0,0.0037037037037,0.0,0.0,3,True,NEW,18,6
5,6,Gabriel Armando,de Abreu,Arsenal,1,Defender,43,100.0,100.0,1184,2.0,0.0,0.0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,NEW,18,0
6,7,Héctor,Bellerín,Arsenal,1,Defender,61,100.0,100.0,2430,3.8,63.0,8.0,60,270.0,0.0,0.0,1.0,5.0,0.0,0.233333333333,0.0296296296296,0.0,0.0,0.0037037037037,0.0,0.0,3,True,NEW,18,6
7,8,Kieran,Gibbs,Arsenal,1,Defender,51,100.0,100.0,374,0.4,4.0,2.0,52,48.0,0.0,0.0,0.0,1.0,0.0,0.0833333333333,0.0416666666667,0.0,0.0,0.0,0.0,0.0,3,True,NEW,18,1
8,9,Mathieu,Debuchy,Arsenal,1,Defender,51,0.0,0.0,142,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,True,NEW,18,0
9,10,Carl,Jenkinson,Arsenal,1,Defender,48,0.0,0.0,1228,0.0,11.0,1.0,50,51.0,0.0,0.0,0.0,1.0,0.0,0.21568627451,0.0196078431373,0.0,0.0,0.0,0.0,0.0,1,True,LIV,8,1
