,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,own_team_form,home,next_team_t,next_team_pos,fantasy_points_t
0,1,Wojciech,Szczesny,Arsenal,1,Goalkeeper,50,0.0,0.0,0,0.0,0,0,50,3,True,MUN,3,0
1,2,David,Ospina,Arsenal,1,Goalkeeper,47,100.0,100.0,0,0.0,0,0,48,3,True,MUN,3,0
2,3,Petr,Cech,Arsenal,1,Goalkeeper,59,,,2430,5.3,119,29,55,3,True,MUN,3,7
3,4,Laurent,Koscielny,Arsenal,1,Defender,63,100.0,100.0,2035,3.3,102,17,60,3,True,MUN,3,0
4,5,Per,Mertesacker,Arsenal,1,Defender,52,100.0,100.0,1637,0.5,17,2,53,3,True,MUN,3,6
5,6,Gabriel Armando,de Abreu,Arsenal,1,Defender,43,100.0,75.0,1004,3.3,85,17,49,3,True,MUN,3,6
6,7,Héctor,Bellerín,Arsenal,1,Defender,61,100.0,100.0,2250,4.0,136,25,56,3,True,MUN,3,7
7,8,Kieran,Gibbs,Arsenal,1,Defender,52,100.0,100.0,284,0.3,3,1,53,3,True,MUN,3,1
8,9,Mathieu,Debuchy,Arsenal,1,Defender,51,0.0,0.0,142,0.0,0,0,53,3,True,MUN,3,0
9,10,Carl,Jenkinson,Arsenal,1,Defender,48,0.0,0.0,1228,0.0,26,0,50,3,False,SUN,19,6
10,11,Nacho,Monreal,Arsenal,1,Defender,59,,,2349,4.3,130,25,55,3,True,MUN,3,6
11,12,Calum,Chambers,Arsenal,1,Defender,46,,,317,0.3,39,6,48,3,True,MUN,3,0
12,13,Alexis,Sánchez,Arsenal,1,Midfielder,110,100.0,100.0,1486,2.5,34,16,110,3,True,MUN,3,16
13,14,Theo,Walcott,Arsenal,1,Midfielder,81,100.0,100.0,1266,2.5,18,14,85,3,True,MUN,3,9
14,15,Mesut,Özil,Arsenal,1,Midfielder,99,100.0,100.0,2169,8.0,85,17,84,3,True,MUN,3,13
15,16,Santiago,Cazorla,Arsenal,1,Midfielder,79,0.0,0.0,1203,0.0,99,14,82,3,True,MUN,3,3
16,17,Aaron,Ramsey,Arsenal,1,Midfielder,79,100.0,100.0,2037,2.8,61,13,83,3,True,MUN,3,3
17,18,Jack,Wilshere,Arsenal,1,Midfielder,58,0.0,0.0,0,0.0,0,0,58,3,True,MUN,3,0
18,19,Alex,Oxlade-Chamberlain,Arsenal,1,Midfielder,55,0.0,0.0,928,2.5,26,10,57,3,True,MUN,3,1
19,20,Mikel,Arteta,Arsenal,1,Midfielder,47,100.0,100.0,166,0.0,21,3,48,3,True,MUN,3,0
20,21,Tomas,Rosicky,Arsenal,1,Midfielder,49,0.0,0.0,0,0.0,0,0,49,3,True,MUN,3,0
