,id,first_name,second_name,team_name,team_id,type_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,minutes,form,bonus_form_t1,fantasy_form_t1,cost_t1,own_team_form,home,next_team_t,next_team_pos,fantasy_points_t
0,1,Wojciech,Szczesny,Arsenal,1,Goalkeeper,50,0.0,0.0,0,0.0,0,0,50,3,True,BOU,16,0
1,2,David,Ospina,Arsenal,1,Goalkeeper,47,100.0,100.0,0,0.0,0,0,47,3,True,BOU,16,0
2,3,Petr,Cech,Arsenal,1,Goalkeeper,60,,,2430,4.2,80,15,57,3,True,BOU,16,7
3,4,Laurent,Koscielny,Arsenal,1,Defender,63,100.0,100.0,2035,2.6,86,13,60,3,True,BOU,16,0
4,5,Per,Mertesacker,Arsenal,1,Defender,52,100.0,100.0,1637,0.4,101,13,53,3,True,BOU,16,6
5,6,Gabriel Armando,de Abreu,Arsenal,1,Defender,43,100.0,100.0,1004,2.6,20,2,44,3,True,BOU,16,14
6,7,Héctor,Bellerín,Arsenal,1,Defender,61,100.0,100.0,2250,3.2,86,12,59,3,True,BOU,16,7
7,8,Kieran,Gibbs,Arsenal,1,Defender,51,100.0,100.0,284,0.2,17,4,52,3,True,BOU,16,6
8,9,Mathieu,Debuchy,Arsenal,1,Defender,51,0.0,0.0,142,0.0,0,0,51,3,True,BOU,16,0
9,10,Carl,Jenkinson,Arsenal,1,Defender,48,0.0,0.0,1228,0.0,32,3,50,1,True,SOU,12,0
10,11,Nacho,Monreal,Arsenal,1,Defender,59,,,2349,3.4,111,14,60,3,True,BOU,16,1
11,12,Calum,Chambers,Arsenal,1,Defender,46,,,317,0.2,18,6,46,3,True,BOU,16,5
12,13,Alexis,Sánchez,Arsenal,1,Midfielder,110,100.0,100.0,1486,2.0,39,6,109,3,True,BOU,16,0
13,14,Theo,Walcott,Arsenal,1,Midfielder,81,100.0,100.0,1266,2.0,45,14,83,3,True,BOU,16,3
14,15,Mesut,Özil,Arsenal,1,Midfielder,100,100.0,100.0,2169,6.4,144,41,99,3,True,BOU,16,14
15,16,Santiago,Cazorla,Arsenal,1,Midfielder,79,0.0,0.0,1203,0.0,16,1,79,3,True,BOU,16,0
16,17,Aaron,Ramsey,Arsenal,1,Midfielder,79,100.0,100.0,2037,2.2,98,28,81,3,True,BOU,16,2
17,18,Jack,Wilshere,Arsenal,1,Midfielder,58,0.0,0.0,0,0.0,0,0,58,3,True,BOU,16,0
18,19,Alex,Oxlade-Chamberlain,Arsenal,1,Midfielder,55,0.0,0.0,928,2.0,30,5,55,3,True,BOU,16,3
19,20,Mikel,Arteta,Arsenal,1,Midfielder,47,100.0,100.0,166,0.0,-3,-1,47,3,True,BOU,16,0
20,21,Tomas,Rosicky,Arsenal,1,Midfielder,49,0.0,0.0,0,0.0,0,0,49,3,True,BOU,16,0
21,22,Serge,Gnabry,Arsenal,1,Midfielder,45,100.0,100.0,13,0.0,0,0,46,1,True,NEW,18,0
22,23,Gedion,Zelalem,Arsenal,1,Midfielder,48,0.0,0.0,0,0.0,0,0,48,3,True,BOU,16,0
23,24,Francis,Coquelin,Arsenal,1,Midfielder,42,100.0,100.0,1048,0.8,1,1,42,3,True,BOU,16,0
24,25,Mathieu,Flamini,Arsenal,1,Midfielder,44,100.0,100.0,1083,1.0,72,10,44,3,True,BOU,16,0
25,26,Olivier,Giroud,Arsenal,1,Forward,90,,,1817,2.6,110,27,91,3,True,BOU,16,5
26,27,Danny,Welbeck,Arsenal,1,Forward,73,100.0,100.0,90,3.2,0,0,73,3,True,BOU,16,0
27,28,Chuba,Akpom,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0,0,50,3,True,BOU,16,0
28,29,Yaya,Sanogo,Arsenal,1,Forward,50,0.0,0.0,0,0.0,0,0,50,3,True,BOU,16,0
29,30,Bradley,Guzan,Aston Villa,2,Goalkeeper,42,,,1890,0.4,74,9,43,1,False,NOR,15,1
30,31,Shay,Given,Stoke,15,Goalkeeper,43,0.0,0.0,0,0.0,0,0,44,1,False,EVE,11,0
31,32,Leandro,Bacuna,Aston Villa,2,Defender,47,100.0,100.0,1836,2.6,36,4,47,1,False,NOR,15,2
32,33,Kieran,Richardson,Aston Villa,2,Defender,41,100.0,100.0,559,0.2,56,6,42,1,False,NOR,15,1
33,34,Ron,Vlaar,Aston Villa,2,Defender,45,,,0,0.0,0,0,45,1,False,NOR,15,0
34,35,Philippe,Senderos,Aston Villa,2,Defender,40,100.0,100.0,0,0.0,0,0,40,1,False,NOR,15,0
35,36,Aly,Cissokho,Aston Villa,2,Defender,45,,,810,1.6,0,0,45,1,False,NOR,15,0
36,37,Alan,Hutton,Aston Villa,2,Defender,41,100.0,100.0,1616,0.4,41,3,42,1,False,NOR,15,1
37,38,Ciaran,Clark,Aston Villa,2,Defender,43,100.0,100.0,902,0.2,21,0,44,1,False,NOR,15,1
38,39,Jores,Okore,Aston Villa,2,Defender,44,100.0,100.0,990,1.4,45,5,44,1,False,NOR,15,0
39,40,Nathan,Baker,Aston Villa,2,Defender,40,0.0,0.0,0,0.0,0,0,40,1,False,NOR,15,0
40,41,Lewis,Kinsella,Aston Villa,2,Defender,38,,,0,0.0,0,0,39,1,False,NOR,15,0
41,42,Micah,Richards,Aston Villa,2,Defender,43,100.0,100.0,1794,1.4,46,7,44,1,False,NOR,15,0
42,43,Fabian,Delph,Man City,9,Midfielder,54,0.0,0.0,514,0.3,47,13,54,3,False,LEI,2,0
43,44,Carles,Gil de Pareja Vicent,Aston Villa,2,Midfielder,46,100.0,100.0,1229,2.2,10,4,47,1,False,NOR,15,0
44,45,Charles,N'Zogbia,Aston Villa,2,Midfielder,45,,,43,0.0,3,1,45,1,False,NOR,15,0
45,46,Joe,Cole,Aston Villa,2,Midfielder,47,0.0,0.0,0,0.0,0,0,47,1,False,NOR,15,0
46,47,Jack,Grealish,Aston Villa,2,Midfielder,52,0.0,0.0,762,0.0,21,3,53,1,False,NOR,15,1
47,48,Scott,Sinclair,Aston Villa,2,Midfielder,42,,,1131,0.6,9,7,44,1,False,NOR,15,1
48,49,Ashley,Westwood,Aston Villa,2,Midfielder,42,100.0,100.0,1817,1.6,28,4,42,1,False,NOR,15,1
49,50,Carlos,Sánchez,Aston Villa,2,Midfielder,43,0.0,0.0,1043,0.0,68,8,43,1,False,NOR,15,0
50,51,Christian,Benteke,Liverpool,8,Forward,80,100.0,100.0,1234,0.5,17,11,82,1,False,SUN,19,8
51,52,Gabriel,Agbonlahor,Aston Villa,2,Forward,47,100.0,100.0,945,2.8,3,1,47,1,False,NOR,15,0
52,53,Libor,Kozák,Aston Villa,2,Forward,44,0.0,0.0,258,0.0,0,0,45,1,False,NOR,15,0
53,54,Rushian,Hepburn-Murphy,Aston Villa,2,Forward,41,,,0,0.0,0,0,42,1,False,NOR,15,0
54,55,Artur,Boruc,Bournemouth,3,Goalkeeper,45,100.0,100.0,2070,3.6,59,15,45,3,False,ARS,1,2
55,56,Adam,Federici,Bournemouth,3,Goalkeeper,44,100.0,100.0,405,0.0,24,2,44,3,False,ARS,1,0
56,57,Simon,Francis,Bournemouth,3,Defender,41,,,2486,3.4,90,12,43,3,False,ARS,1,1
57,58,Steve,Cook,Bournemouth,3,Defender,42,100.0,100.0,2295,5.2,90,15,43,3,False,ARS,1,1
58,59,Tommy,Elphick,Bournemouth,3,Defender,42,100.0,100.0,450,0.0,0,0,43,3,False,ARS,1,0
59,60,Charlie,Daniels,Bournemouth,3,Defender,48,100.0,100.0,2385,5.6,106,23,45,3,False,ARS,1,1
60,61,Adam,Smith,Bournemouth,3,Defender,41,,,1763,3.4,103,27,40,3,False,ARS,1,1
61,62,Tyrone,Mings,Bournemouth,3,Defender,41,0.0,0.0,11,0.0,0,0,41,3,False,ARS,1,0
62,63,Sylvain,Distin,Bournemouth,3,Defender,40,100.0,100.0,842,0.2,32,2,42,3,False,ARS,1,0
63,64,Matt,Ritchie,Bournemouth,3,Midfielder,53,100.0,100.0,2239,5.4,63,16,55,3,False,ARS,1,2
64,65,Christian,Atsu,Chelsea,4,Midfielder,50,0.0,0.0,0,0.0,0,0,50,3,False,ARS,1,0
65,66,Joshua,King,Bournemouth,3,Midfielder,43,75.0,100.0,1193,1.8,73,25,46,3,False,ARS,1,2
66,67,Harry,Arter,Bournemouth,3,Midfielder,47,75.0,100.0,1437,2.2,76,10,47,3,False,ARS,1,2
67,68,Marc,Pugh,Bournemouth,3,Midfielder,46,100.0,100.0,939,2.0,3,1,47,3,False,ARS,1,1
68,69,Andrew,Surman,Bournemouth,3,Midfielder,43,,,2520,2.0,100,15,43,3,False,ARS,1,2
69,70,Eunan,O'Kane,Bournemouth,3,Midfielder,41,,,576,0.0,4,1,42,3,False,ARS,1,1
70,71,Shaun,MacDonald,Bournemouth,3,Midfielder,43,100.0,100.0,27,0.0,3,1,43,3,False,ARS,1,0
71,72,Junior,Stanislas,Bournemouth,3,Midfielder,41,0.0,0.0,1218,0.8,116,31,42,3,False,ARS,1,1
72,73,Dan,Gosling,Bournemouth,3,Midfielder,44,,,1944,1.4,103,21,44,3,False,ARS,1,2
73,74,Callum,Wilson,Bournemouth,3,Forward,53,0.0,0.0,541,0.0,0,0,53,3,False,ARS,1,0
74,75,Yann,Kermorgant,Bournemouth,3,Forward,44,0.0,0.0,130,0.0,1,1,44,3,False,ARS,1,0
75,76,Tokelo,Rantie,Bournemouth,3,Forward,41,75.0,75.0,41,0.0,4,1,41,3,False,ARS,1,0
76,77,Thibaut,Courtois,Chelsea,4,Goalkeeper,52,100.0,100.0,1491,3.6,48,7,52,3,False,MUN,6,6
77,78,John,Terry,Chelsea,4,Defender,66,0.0,0.0,1717,2.2,46,9,66,3,False,MUN,6,6
78,79,Branislav,Ivanovic,Chelsea,4,Defender,66,100.0,100.0,2160,4.4,119,31,65,3,False,MUN,6,8
79,80,César,Azpilicueta,Chelsea,4,Defender,58,,,2299,4.0,52,9,57,3,False,MUN,6,9
80,81,Gary,Cahill,Chelsea,4,Defender,61,100.0,100.0,1327,1.4,44,8,62,3,False,MUN,6,0
81,82,Kurt,Zouma,Chelsea,4,Defender,52,0.0,0.0,1918,1.4,86,17,55,3,False,MUN,6,6
82,83,Filipe Luis,Kasmirski,Chelsea,4,Defender,55,,,0,0.0,0,0,55,3,False,MUN,6,0
83,84,Nathan,Aké,Watford,18,Defender,44,100.0,100.0,1394,2.0,120,29,44,3,True,TOT,3,-2
84,85,Andreas,Christensen,Chelsea,4,Defender,45,0.0,0.0,0,0.0,0,0,45,3,False,MUN,6,0
85,86,Eden,Hazard,Chelsea,4,Midfielder,108,100.0,100.0,1726,2.2,37,9,108,3,False,MUN,6,2
86,87,Cesc,Fàbregas,Chelsea,4,Midfielder,84,100.0,100.0,2077,4.2,80,17,84,3,False,MUN,6,0
87,88,Oscar,dos Santos Emboaba Junior,Chelsea,4,Midfielder,80,100.0,100.0,1438,1.2,56,14,82,3,False,MUN,6,3
88,89,Juan,Cuadrado,Chelsea,4,Midfielder,74,0.0,0.0,27,0.0,0,0,74,3,False,MUN,6,0
89,90,Willian,Borges Da Silva,Chelsea,4,Midfielder,72,100.0,100.0,2094,5.0,99,19,70,3,False,MUN,6,3
90,91,Ramires,Santos do Nascimento,Chelsea,4,Midfielder,53,0.0,0.0,609,0.0,14,4,53,3,False,MUN,6,1
91,92,Nemanja,Matic,Chelsea,4,Midfielder,46,100.0,100.0,1896,2.0,79,10,47,3,False,MUN,6,3
92,93,Ruben,Loftus-Cheek,Chelsea,4,Midfielder,46,,,76,0.2,3,1,46,3,False,MUN,6,1
93,94,John Obi,Mikel,Chelsea,4,Midfielder,42,,,992,1.6,8,1,42,3,False,MUN,6,2
94,95,Isaiah,Brown,Chelsea,4,Midfielder,45,0.0,0.0,0,0.0,0,0,45,3,False,MUN,6,0
95,96,Victor,Moses,West Ham,20,Midfielder,49,100.0,100.0,822,1.6,0,5,50,1,True,SOU,12,0
96,97,Nathan Allan,de Souza,Chelsea,4,Midfielder,50,0.0,0.0,0,0.0,0,0,50,3,False,MUN,6,0
97,98,Diego,Da Silva Costa,Chelsea,4,Forward,108,100.0,100.0,2013,6.2,20,10,107,3,False,MUN,6,0
98,99,Loïc,Remy,Chelsea,4,Forward,71,100.0,100.0,185,0.0,31,9,71,3,False,MUN,6,0
99,100,Dominic,Solanke,Chelsea,4,Forward,50,0.0,0.0,0,0.0,0,0,50,3,False,MUN,6,0
100,101,Radamel Falcao,García Zárate,Chelsea,4,Forward,69,0.0,0.0,222,0.0,0,0,69,3,False,MUN,6,0
101,102,Julian,Speroni,Crystal Palace,5,Goalkeeper,43,100.0,100.0,0,0.0,0,0,43,3,True,SWA,17,0
102,103,Wayne,Hennessey,Crystal Palace,5,Goalkeeper,42,,,1980,1.4,80,18,41,3,True,SWA,17,7
103,104,Scott,Dann,Crystal Palace,5,Defender,59,100.0,100.0,2430,4.0,89,20,56,3,True,SWA,17,6
104,105,Joel,Ward,Crystal Palace,5,Defender,44,100.0,100.0,1890,1.2,83,16,44,3,True,SWA,17,6
105,106,Adrian,Mariappa,Crystal Palace,5,Defender,37,,,75,0.0,0,0,38,3,True,SWA,17,0
106,107,Martin,Kelly,Crystal Palace,5,Defender,41,,,900,0.4,0,0,43,3,True,SWA,17,0
107,108,Damien,Delaney,Crystal Palace,5,Defender,44,100.0,100.0,1980,2.6,107,22,44,3,True,SWA,17,0
108,109,Pape,Souaré,Crystal Palace,5,Defender,42,100.0,0.0,2160,0.2,66,14,45,3,True,SWA,17,7
109,110,Ezekiel,Fryers,Crystal Palace,5,Defender,40,100.0,100.0,0,0.0,0,0,40,3,True,SWA,17,0
110,111,Brede,Hangeland,Crystal Palace,5,Defender,40,,,630,0.0,0,0,43,3,True,SWA,17,5
111,112,Yannick,Bolasie,Crystal Palace,5,Midfielder,60,100.0,100.0,1380,1.2,107,27,62,3,True,SWA,17,0
112,113,Jason,Puncheon,Crystal Palace,5,Midfielder,55,0.0,0.0,2034,0.4,69,13,56,3,True,SWA,17,3
113,114,Wilfried,Zaha,Crystal Palace,5,Midfielder,53,100.0,75.0,2055,2.4,54,16,53,3,True,SWA,17,3
114,115,Mile,Jedinak,Crystal Palace,5,Midfielder,46,100.0,100.0,775,1.4,20,3,46,3,True,SWA,17,3
115,116,Joe,Ledley,Crystal Palace,5,Midfielder,46,100.0,100.0,637,0.6,18,2,47,3,True,SWA,17,0
116,117,James,McArthur,Crystal Palace,5,Midfielder,50,0.0,0.0,1933,0.2,93,22,50,3,True,SWA,17,3
117,118,Jordon,Mutch,Crystal Palace,5,Midfielder,41,100.0,100.0,671,1.8,18,3,42,3,True,SWA,17,1
118,119,Barry,Bannan,Crystal Palace,5,Midfielder,44,0.0,0.0,0,0.0,0,0,44,3,True,SWA,17,0
119,120,Jonathan,Williams,Crystal Palace,5,Midfielder,43,0.0,0.0,11,0.0,0,0,43,3,True,SWA,17,0
120,121,Chung-yong,Lee,Crystal Palace,5,Midfielder,43,100.0,100.0,318,0.8,37,9,43,3,True,SWA,17,1
121,122,Adlène,Guédioura,Watford,18,Midfielder,42,100.0,100.0,59,0.0,9,4,43,3,True,TOT,3,0
122,123,Glenn,Murray,Bournemouth,3,Forward,54,100.0,100.0,802,0.2,44,10,56,3,False,ARS,1,1
123,124,Dwight,Gayle,Crystal Palace,5,Forward,51,100.0,100.0,384,0.2,3,1,51,3,True,SWA,17,0
124,125,Fraizer,Campbell,Crystal Palace,5,Forward,54,100.0,100.0,342,0.6,0,0,54,3,True,SWA,17,0
125,126,Marouane,Chamakh,Crystal Palace,5,Forward,47,100.0,100.0,257,0.4,11,3,47,3,True,SWA,17,1
126,127,Tim,Howard,Everton,6,Goalkeeper,49,100.0,100.0,2070,0.0,84,15,51,1,True,STK,9,0
127,128,Joel,Robles,Everton,6,Goalkeeper,43,,,360,4.8,0,0,43,1,True,STK,9,0
128,129,Leighton,Baines,Everton,6,Defender,60,100.0,100.0,669,0.3,26,4,61,1,True,STK,9,0
129,130,Seamus,Coleman,Everton,6,Defender,58,100.0,100.0,1880,6.5,118,20,59,1,True,STK,9,0
130,131,Phil,Jagielka,Everton,6,Defender,51,100.0,100.0,1401,4.3,0,0,52,1,True,STK,9,0
131,132,John,Stones,Everton,6,Defender,54,100.0,100.0,1908,0.3,100,12,55,1,True,STK,9,-1
132,133,Luke,Garbutt,Everton,6,Defender,45,0.0,0.0,0,0.0,0,0,45,1,True,STK,9,0
133,134,Brendan,Galloway,Everton,6,Defender,39,100.0,100.0,1221,0.0,51,13,43,1,True,STK,9,0
134,135,Tony,Hibbert,Everton,6,Defender,39,100.0,100.0,0,0.0,0,0,39,1,True,STK,9,0
135,136,Tyias,Browning,Everton,6,Defender,38,0.0,0.0,298,0.0,0,0,40,1,True,STK,9,0
136,137,Kevin,Mirallas,Everton,6,Midfielder,67,100.0,100.0,545,3.0,32,8,68,1,True,STK,9,0
137,138,Ross,Barkley,Everton,6,Midfielder,73,,,2362,5.8,173,45,75,1,True,STK,9,5
138,139,Tom,Cleverley,Everton,6,Midfielder,51,75.0,100.0,1139,5.0,56,8,51,1,True,STK,9,4
139,140,Leon,Osman,Everton,6,Midfielder,44,,,116,0.5,2,1,45,1,True,STK,9,0
140,141,James,McCarthy,Everton,6,Midfielder,46,100.0,100.0,1605,2.5,24,6,47,1,True,STK,9,4
141,142,Aiden,McGeady,Everton,6,Midfielder,49,0.0,0.0,0,0.0,0,0,49,1,True,STK,9,0
142,143,Steven,Pienaar,Everton,6,Midfielder,48,100.0,100.0,93,0.0,0,0,48,1,True,STK,9,0
143,144,Gareth,Barry,Everton,6,Midfielder,42,100.0,100.0,2430,2.3,81,17,43,1,True,STK,9,2
144,145,Darron,Gibson,Everton,6,Midfielder,44,0.0,0.0,42,0.0,12,3,44,1,True,STK,9,0
145,146,Muhamed,Besic,Everton,6,Midfielder,44,0.0,0.0,251,0.0,0,0,44,1,True,STK,9,0
146,147,Bryan,Oviedo,Everton,6,Midfielder,42,75.0,100.0,614,2.8,0,0,43,1,True,STK,9,0
147,148,Gerard,Deulofeu,Everton,6,Midfielder,58,100.0,100.0,1163,0.3,77,17,64,1,True,STK,9,6
148,149,Romelu,Lukaku,Everton,6,Forward,88,100.0,100.0,2331,4.3,165,41,93,1,True,STK,9,13
149,150,Steven,Naismith,Norwich,12,Forward,50,75.0,100.0,842,1.8,0,0,50,1,True,STK,9,1
150,151,Arouna,Koné,Everton,6,Forward,44,,,1314,0.8,50,13,47,1,True,STK,9,2
151,152,Kasper,Schmeichel,Leicester,7,Goalkeeper,46,,,2520,3.6,81,17,45,3,True,MCI,3,10
152,153,Ben,Hamer,Leicester,7,Goalkeeper,40,0.0,0.0,0,0.0,0,0,40,3,True,MCI,3,0
153,154,Wes,Morgan,Leicester,7,Defender,43,100.0,100.0,2520,3.0,88,17,43,3,True,MCI,3,6
154,155,Christian,Fuchs,Leicester,7,Defender,49,100.0,100.0,1811,4.6,105,20,47,3,True,MCI,3,8
155,156,Jeffrey,Schlupp,Leicester,7,Defender,47,100.0,100.0,1048,0.4,15,2,48,3,True,MCI,3,0
156,157,Marcin,Wasilewski,Leicester,7,Defender,40,,,123,-0.2,7,0,40,3,True,MCI,3,0
157,158,Paul,Konchesky,Leicester,7,Defender,45,0.0,0.0,0,0.0,0,0,45,3,True,MCI,3,0
158,159,Ritchie,de Laet,Leicester,7,Defender,45,0.0,0.0,658,0.0,5,2,45,3,True,MCI,3,1
159,160,Danny,Simpson,Leicester,7,Defender,42,100.0,100.0,1709,1.0,93,21,41,3,True,MCI,3,6
160,161,Liam,Moore,Leicester,7,Defender,38,100.0,100.0,0,0.0,0,0,38,3,True,MCI,3,0
161,162,Robert,Huth,Leicester,7,Defender,47,100.0,100.0,2430,6.4,60,14,43,3,True,MCI,3,6
162,163,Riyad,Mahrez,Leicester,7,Midfielder,73,100.0,100.0,2196,6.0,206,60,71,3,True,MCI,3,3
163,164,Marc,Albrighton,Leicester,7,Midfielder,49,,,2216,2.6,90,17,49,3,True,MCI,3,2
164,165,Andy,King,Leicester,7,Midfielder,41,,,867,3.2,39,6,42,3,True,MCI,3,1
165,166,Daniel,Drinkwater,Leicester,7,Midfielder,45,100.0,100.0,2227,3.8,50,9,45,3,True,MCI,3,3
166,167,Dean,Hammond,Leicester,7,Midfielder,43,0.0,0.0,0,0.0,0,0,43,3,True,MCI,3,0
167,168,Anthony,Knockaert,Leicester,7,Midfielder,45,,,0,0.0,0,0,45,3,True,MCI,3,0
168,169,Matthew,James,Leicester,7,Midfielder,44,0.0,0.0,0,0.0,0,0,44,3,True,MCI,3,0
169,170,Jamie,Vardy,Leicester,7,Forward,78,100.0,100.0,2448,5.8,120,36,77,3,True,MCI,3,2
170,171,Leonardo,Ulloa,Leicester,7,Forward,52,100.0,100.0,668,1.8,48,17,53,3,True,MCI,3,1
171,172,Andrej,Kramaric,Leicester,7,Forward,54,0.0,0.0,24,0.0,0,0,54,3,True,MCI,3,0
172,173,David,Nugent,Leicester,7,Forward,55,0.0,0.0,0,0.0,0,0,55,3,True,MCI,3,0
173,174,Shinji,Okazaki,Leicester,7,Forward,56,100.0,100.0,1444,2.6,75,18,56,3,True,MCI,3,0
174,175,Simon,Mignolet,Liverpool,8,Goalkeeper,49,100.0,100.0,2250,2.3,44,9,50,1,False,SUN,19,8
175,176,Adam,Bogdan,Liverpool,8,Goalkeeper,43,,,90,0.0,10,1,44,1,False,SUN,19,0
